City,,Day_of_Week,Ride_Distance_KM,Ride_Type,Weather,Available_Drivers,Demand_Level,Hour_of_Day,Is_Weekend,Ride_Priority,Time_of_Day,Surge_Multiplier
Cần Thơ,,6,12.26,Xe ViP,Nhiều Mây,0.842052,0.468136,5,1,92.07,Chiều,1
Hải Phòng,,0,14.44,Xe Máy,Mưa Bão,0.648615,0.531352,20,0,89.87,Chiều,1.38
Hải Phòng,,3,11.28,Xe ViP,Nhiều Mây,0.298953,0.601863,10,0,85.11,Cao điểm Tối,1.77
Đà Nẵng,,3,12.96,Xe ViP,Nắng,0.450994,0.718529,10,0,93.46,Cao điểm Sáng,1.67
Hà Nội,,1,18.44,Ô Tô 4 Chỗ,Mưa Bão,0.485992,0.602983,1,0,95.37,Đêm,1.56
Hồ Chí Minh,,6,3.3,Xe ViP,Nắng,0.699822,0.533952,18,1,86.79,Đêm,1
Hải Phòng,,4,7.79,Xe ViP,Nắng,0.314112,0.968493,19,0,85.93,Đêm,1.98
Hồ Chí Minh,,3,6.33,Xe Máy,Mưa Bão,0.201826,0.795749,4,0,89.18,Đêm,2.03
Cần Thơ,,0,4.51,Ô Tô 4 Chỗ,Mưa,0.691429,0.869562,2,0,99.89,Cao điểm Tối,2.33
Cần Thơ,,6,11.51,Xe Máy,Mưa,0.527619,0.948667,0,1,93.22,Cao điểm Sáng,2.61
Hồ Chí Minh,,5,10.3,Ô Tô 4 Chỗ,Mưa Bão,0.845435,0.876873,7,1,93.31,Cao điểm Tối,2.48
Hải Phòng,,1,13.88,Xe ViP,Nhiều Mây,0.66526,0.973321,5,0,84.24,Chiều,1.46
Hải Phòng,,0,8.85,Ô Tô 4 Chỗ,Nhiều Mây,0.732253,0.963633,23,0,93.27,Chiều,1.35
Hải Phòng,,5,6.7,Xe ViP,Mưa,0.260077,0.595369,3,1,96.02,Đêm,1.6
Hà Nội,,1,14.53,Xe ViP,Mưa,0.504639,0.926065,21,0,90.11,Đêm,1.86
Hồ Chí Minh,,1,16.75,Xe ViP,Nắng,0.506244,0.571378,21,0,91.31,Cao điểm Tối,1.45
Hải Phòng,,0,19.61,Xe Máy,Nắng,0.868275,0.770144,12,0,88.8,Cao điểm Tối,1.19
Cần Thơ,,4,7.52,Xe Máy,Mưa,0.902492,0.903773,2,0,89.71,Cao điểm Tối,1.5
Đà Nẵng,,0,5.2,Xe ViP,Nắng,0.774968,0.671703,14,0,87.71,Cao điểm Tối,1.23
Cần Thơ,,3,7.92,Xe ViP,Nắng,0.261569,0.684973,2,0,97.54,Cao điểm Tối,2.01
Cần Thơ,,2,19.88,Xe Máy,Mưa Bão,0.271043,0.933715,19,0,93.47,Cao điểm Tối,2.87
Hà Nội,,6,19.92,Xe Máy,Mưa Bão,0.365416,0.885284,18,1,83.89,Đêm,1.95
Cần Thơ,,0,7.37,Xe ViP,Mưa Bão,0.26191,0.595243,23,0,96.26,Cao điểm Sáng,2.15
Cần Thơ,,5,12.01,Ô Tô 4 Chỗ,Mưa Bão,0.248159,0.824711,11,1,92.19,Chiều,2.2
Hà Nội,,3,0.88,Xe Máy,Mưa Bão,0.629162,0.42205,22,0,88.36,Cao điểm Tối,2.01
Hải Phòng,,3,3.63,Ô Tô 4 Chỗ,Mưa,0.554773,0.492233,17,0,96.05,Cao điểm Sáng,1.98
Đà Nẵng,,1,4.8,Xe ViP,Nắng,0.675757,0.46267,20,0,86.47,Chiều,1
Đà Nẵng,,2,3.25,Xe Máy,Mưa Bão,0.520791,0.811275,21,0,92.06,Đêm,1.64
Đà Nẵng,,5,0.88,Xe ViP,Nhiều Mây,0.281077,0.995909,6,1,93.96,Chiều,1.86
Hà Nội,,5,5.3,Xe Máy,Mưa Bão,0.318953,0.92797,1,1,88.92,Cao điểm Sáng,2.43
Cần Thơ,,0,4.22,Ô Tô 4 Chỗ,Mưa Bão,0.415175,0.914963,6,0,98.17,Đêm,2.15
Hải Phòng,,0,3.25,Ô Tô 4 Chỗ,Mưa Bão,0.691837,0.99797,3,0,88.23,Đêm,1.79
Đà Nẵng,,2,0.88,Ô Tô 4 Chỗ,Mưa,0.613756,0.994943,13,0,87.2,Đêm,1.89
Hải Phòng,,6,11.64,Xe Máy,Mưa,0.709511,0.521978,10,1,92.62,Chiều,1.26
Hà Nội,,5,15.98,Ô Tô 4 Chỗ,Nắng,0.692941,0.750212,7,1,91.09,Cao điểm Sáng,1.27
Cần Thơ,,0,15.33,Xe Máy,Nhiều Mây,0.50128,0.74555,7,0,85.95,Cao điểm Tối,1.74
Hà Nội,,2,2.54,Ô Tô 4 Chỗ,Nắng,0.912603,0.529531,3,0,89.12,Cao điểm Tối,1.21
Hồ Chí Minh,,0,12.66,Xe ViP,Nhiều Mây,0.258845,0.905672,0,0,87.13,Cao điểm Sáng,2.2
Hà Nội,,1,10.54,Ô Tô 4 Chỗ,Nhiều Mây,0.946975,0.443547,3,0,92.97,Chiều,1
Hồ Chí Minh,,4,7.72,Xe ViP,Nhiều Mây,0.731815,0.844033,22,0,86.86,Cao điểm Sáng,1.35
Hải Phòng,,2,0.78,Xe ViP,Mưa,0.536097,0.440173,21,0,93.75,Chiều,1.21
Hà Nội,,6,10.11,Xe ViP,Nhiều Mây,0.756213,0.743794,1,1,91.97,Cao điểm Tối,1.15
Hà Nội,,0,7.19,Xe ViP,Nhiều Mây,0.759944,0.679135,12,0,93.51,Chiều,1
Cần Thơ,,3,2.81,Xe ViP,Nhiều Mây,0.907936,0.716623,22,0,92.97,Cao điểm Tối,1.16
Hà Nội,,1,11.22,Ô Tô 4 Chỗ,Nắng,0.474591,0.409792,23,0,89.73,Chiều,1
Hà Nội,,6,5.11,Xe Máy,Nắng,0.566586,0.513302,16,1,86.93,Cao điểm Tối,1.22
Hồ Chí Minh,,1,8.55,Xe ViP,Nhiều Mây,0.846897,0.674023,3,0,94.34,Chiều,1
Hà Nội,,6,11.35,Xe Máy,Nhiều Mây,0.263427,0.951696,3,1,98.04,Đêm,2.03
Đà Nẵng,,0,19.55,Xe ViP,Nắng,0.785591,0.909949,0,0,91.72,Đêm,1.19
Hồ Chí Minh,,0,13.54,Ô Tô 4 Chỗ,Mưa,0.762424,0.785712,2,0,88.1,Cao điểm Sáng,2.14
Hà Nội,,5,4.81,Xe ViP,Nhiều Mây,0.216248,0.929372,3,1,91.41,Đêm,2.07
Hồ Chí Minh,,0,9.52,Ô Tô 4 Chỗ,Mưa Bão,0.336631,0.663336,15,0,85.49,Chiều,1.8
Hà Nội,,6,16.49,Xe Máy,Mưa Bão,0.31341,0.489214,5,1,87.83,Đêm,1.56
Hà Nội,,6,3.71,Xe ViP,Nhiều Mây,0.575998,0.822733,9,1,97.43,Chiều,1.37
Đà Nẵng,,5,5.41,Xe ViP,Mưa Bão,0.362393,0.667781,16,1,85.73,Cao điểm Tối,2.36
Hà Nội,,0,10.86,Ô Tô 4 Chỗ,Nắng,0.28904,0.672674,3,0,90.62,Cao điểm Tối,1.92
Đà Nẵng,,5,1.88,Ô Tô 4 Chỗ,Mưa Bão,0.800074,0.992033,17,1,92.85,Chiều,1.46
Cần Thơ,,0,3.63,Xe ViP,Mưa,0.813386,0.409216,22,0,86.62,Đêm,1.18
Cần Thơ,,3,8.13,Xe ViP,Nắng,0.739714,0.992775,4,0,94.13,Cao điểm Tối,1.74
Hải Phòng,,6,5.51,Ô Tô 4 Chỗ,Mưa,0.641113,0.592491,15,1,94.65,Cao điểm Sáng,1.66
Cần Thơ,,4,15.5,Ô Tô 4 Chỗ,Nắng,0.351639,0.482579,12,0,89.61,Đêm,1.2
Hải Phòng,,2,12.3,Xe ViP,Mưa,0.774592,0.839527,12,0,90.33,Cao điểm Sáng,2.55
Hồ Chí Minh,,1,15.76,Ô Tô 4 Chỗ,Mưa Bão,0.279851,0.895515,4,0,93.41,Cao điểm Tối,2.46
Hồ Chí Minh,,6,6.01,Xe Máy,Nhiều Mây,0.202752,0.616111,13,1,86.97,Chiều,1.62
Hà Nội,,0,15.12,Ô Tô 4 Chỗ,Nắng,0.769628,0.792491,5,0,95.89,Chiều,1.03
Hồ Chí Minh,,0,12.15,Xe ViP,Mưa Bão,0.764443,0.796984,23,0,97.28,Chiều,1.41
Hải Phòng,,5,13.83,Xe ViP,Nhiều Mây,0.667294,0.801557,1,1,93.64,Cao điểm Sáng,1.18
Đà Nẵng,,6,8.13,Xe ViP,Mưa Bão,0.275385,0.977038,23,1,96.69,Chiều,2.27
Hải Phòng,,4,13.26,Xe ViP,Nhiều Mây,0.719302,0.447784,14,0,92.2,Cao điểm Sáng,1.39
Cần Thơ,,0,16.91,Ô Tô 4 Chỗ,Nắng,0.770209,0.808039,2,0,96.42,Đêm,1.06
Hải Phòng,,2,15.4,Xe Máy,Nhiều Mây,0.356762,0.471652,10,0,87.14,Đêm,1.17
Hồ Chí Minh,,1,13.7,Ô Tô 4 Chỗ,Nhiều Mây,0.785213,0.525912,9,0,92.18,Chiều,1
Cần Thơ,,5,16.7,Xe ViP,Mưa Bão,0.745048,0.62034,22,1,98.53,Cao điểm Sáng,2.38
Hải Phòng,,5,18.99,Xe Máy,Nhiều Mây,0.841097,0.579242,10,1,90.43,Đêm,1
Hồ Chí Minh,,4,4.54,Ô Tô 4 Chỗ,Nắng,0.829361,0.978083,11,0,97.1,Đêm,1.22
Hải Phòng,,2,5.96,Ô Tô 4 Chỗ,Mưa Bão,0.230153,0.889857,10,0,87.37,Đêm,2.26
Hồ Chí Minh,,1,11.84,Xe Máy,Mưa Bão,0.829494,0.948103,3,0,95.57,Đêm,1.54
Đà Nẵng,,1,7.39,Xe Máy,Nhiều Mây,0.322851,0.711221,1,0,87.7,Đêm,1.58
Hồ Chí Minh,,2,1.76,Xe Máy,Mưa Bão,0.248501,0.957884,2,0,96.74,Cao điểm Sáng,2.65
Hải Phòng,,6,12.68,Xe ViP,Mưa Bão,0.333639,0.685772,3,1,85.2,Đêm,1.65
Hải Phòng,,2,14.68,Xe Máy,Nhiều Mây,0.743403,0.926496,14,0,94.25,Đêm,1.27
Hà Nội,,5,9.02,Xe ViP,Mưa Bão,0.424654,0.568183,15,1,97.82,Cao điểm Tối,1.75
Hồ Chí Minh,,0,13.96,Ô Tô 4 Chỗ,Mưa,0.436887,0.642003,10,0,94.17,Cao điểm Sáng,2.31
Hồ Chí Minh,,2,19.88,Ô Tô 4 Chỗ,Nhiều Mây,0.879868,0.938187,21,0,98.85,Đêm,1.09
Đà Nẵng,,4,9.77,Xe ViP,Mưa Bão,0.627633,0.712126,12,0,96.97,Đêm,1.31
Cần Thơ,,6,15.8,Xe Máy,Mưa Bão,0.883904,0.590252,20,1,94.91,Cao điểm Sáng,2.48
Hà Nội,,0,6.92,Ô Tô 4 Chỗ,Mưa Bão,0.5898,0.683407,12,0,88.72,Chiều,1.47
Đà Nẵng,,0,7.26,Xe ViP,Mưa,0.312249,0.804372,9,0,93.57,Đêm,2.12
Đà Nẵng,,2,15.69,Ô Tô 4 Chỗ,Nhiều Mây,0.806994,0.430664,17,0,91.21,Cao điểm Sáng,1.38
Cần Thơ,,6,16.49,Ô Tô 4 Chỗ,Nhiều Mây,0.340866,0.834249,19,1,99.95,Đêm,1.58
Hà Nội,,2,2.91,Xe Máy,Nhiều Mây,0.31893,0.767876,14,0,97.74,Đêm,1.67
Hà Nội,,3,14.55,Xe Máy,Nhiều Mây,0.877099,0.746982,3,0,89.14,Đêm,1
Hà Nội,,1,6.79,Ô Tô 4 Chỗ,Nhiều Mây,0.369406,0.780378,18,0,89.53,Đêm,1.62
Hồ Chí Minh,,6,2.48,Xe Máy,Nắng,0.782376,0.623431,5,1,90.29,Cao điểm Sáng,1.36
Hà Nội,,0,15.09,Xe Máy,Nắng,0.717506,0.822586,2,0,84.63,Đêm,1.16
Hà Nội,,6,4.25,Xe ViP,Mưa,0.439914,0.671407,15,1,87.87,Cao điểm Sáng,2.65
Hà Nội,,3,18.77,Xe Máy,Nhiều Mây,0.696799,0.926127,2,0,89.39,Cao điểm Tối,1.53
Cần Thơ,,3,19.09,Ô Tô 4 Chỗ,Mưa,0.402503,0.815951,8,0,92.81,Chiều,1.97
Hà Nội,,5,1.14,Xe ViP,Nhiều Mây,0.662019,0.403469,5,1,94.8,Cao điểm Sáng,1.29
Cần Thơ,,2,19.78,Xe ViP,Nhiều Mây,0.625422,0.417682,4,0,92.09,Cao điểm Sáng,1.31
Đà Nẵng,,0,18.05,Xe ViP,Mưa,0.425891,0.466568,13,0,97.35,Đêm,1.17
Đà Nẵng,,6,12.95,Xe ViP,Nắng,0.394047,0.680529,10,1,91.59,Đêm,1.14
Cần Thơ,,0,4.87,Xe ViP,Mưa Bão,0.283462,0.923521,11,0,93.17,Chiều,2.22
Hải Phòng,,0,5.66,Ô Tô 4 Chỗ,Nhiều Mây,0.483731,0.895993,9,0,89.12,Đêm,1.62
Cần Thơ,,6,18.01,Xe Máy,Mưa Bão,0.26953,0.659367,14,1,94.34,Cao điểm Sáng,2.42
Hồ Chí Minh,,6,15.94,Ô Tô 4 Chỗ,Mưa Bão,0.764146,0.850657,12,1,93.53,Đêm,1.5
Hồ Chí Minh,,3,7.13,Xe ViP,Nhiều Mây,0.858969,0.887897,7,0,90.68,Cao điểm Sáng,1.34
Hồ Chí Minh,,4,14.84,Ô Tô 4 Chỗ,Mưa Bão,0.524793,0.585133,16,0,91.94,Cao điểm Tối,2.07
Đà Nẵng,,5,5.73,Ô Tô 4 Chỗ,Mưa Bão,0.709699,0.716329,9,1,99.36,Cao điểm Tối,1.56
Hồ Chí Minh,,3,10.24,Xe Máy,Mưa,0.24166,0.843605,5,0,88.31,Cao điểm Tối,2.95
Hải Phòng,,0,11.88,Ô Tô 4 Chỗ,Mưa Bão,0.725511,0.990664,21,0,89.63,Cao điểm Sáng,1.91
Hà Nội,,4,10.61,Xe ViP,Nắng,0.303505,0.834271,19,0,83.54,Cao điểm Sáng,1.99
Hà Nội,,2,3.05,Xe Máy,Nắng,0.433618,0.917679,9,0,94.59,Cao điểm Tối,2.05
Cần Thơ,,0,11.39,Xe Máy,Nắng,0.790454,0.826648,7,0,95.37,Đêm,1.05
Hồ Chí Minh,,3,5.98,Ô Tô 4 Chỗ,Nhiều Mây,0.47187,0.549366,4,0,88.54,Cao điểm Sáng,1.34
Hồ Chí Minh,,3,7.09,Xe Máy,Nắng,0.960352,0.402713,23,0,95.28,Cao điểm Sáng,1.26
Cần Thơ,,0,5.4,Ô Tô 4 Chỗ,Mưa,0.218131,0.651995,13,0,94.62,Chiều,1.89
Đà Nẵng,,2,14.2,Ô Tô 4 Chỗ,Nhiều Mây,0.492007,0.671198,5,0,89.28,Đêm,1.27
Hải Phòng,,2,13.63,Ô Tô 4 Chỗ,Nhiều Mây,0.949081,0.591939,18,0,88.08,Chiều,1
Đà Nẵng,,3,15.86,Ô Tô 4 Chỗ,Nhiều Mây,0.299526,0.51222,18,0,91.28,Cao điểm Tối,1.62
Đà Nẵng,,1,3.82,Ô Tô 4 Chỗ,Mưa Bão,0.900214,0.417103,12,0,89.5,Cao điểm Sáng,2.36
Hải Phòng,,2,10.28,Xe ViP,Mưa Bão,0.332597,0.826167,22,0,88.31,Cao điểm Sáng,2.38
Hải Phòng,,0,13.73,Xe ViP,Nhiều Mây,0.402208,0.705147,9,0,89.61,Cao điểm Sáng,1.63
Hồ Chí Minh,,0,1.72,Ô Tô 4 Chỗ,Nắng,0.861848,0.613521,13,0,89.84,Chiều,1
Cần Thơ,,1,5.4,Ô Tô 4 Chỗ,Mưa Bão,0.944596,0.448544,16,0,89.14,Cao điểm Tối,1.68
Hồ Chí Minh,,0,10.23,Xe Máy,Mưa Bão,0.423219,0.616784,9,0,89.09,Đêm,1.4
Đà Nẵng,,3,0.86,Ô Tô 4 Chỗ,Mưa Bão,0.735932,0.944213,22,0,90.84,Đêm,1.5
Cần Thơ,,4,4.08,Xe Máy,Nắng,0.669728,0.986986,11,0,94.3,Cao điểm Sáng,1.77
Hà Nội,,4,7.14,Xe ViP,Nhiều Mây,0.368329,0.418931,18,0,94.68,Đêm,1.08
Hà Nội,,4,2.85,Xe ViP,Mưa,0.501613,0.777117,10,0,98.56,Chiều,1.76
Đà Nẵng,,0,14.8,Ô Tô 4 Chỗ,Mưa,0.684876,0.641413,19,0,95.56,Cao điểm Sáng,2.28
Hồ Chí Minh,,6,15.75,Ô Tô 4 Chỗ,Mưa,0.202271,0.459459,16,1,89.46,Cao điểm Tối,2.22
Hải Phòng,,1,18.86,Ô Tô 4 Chỗ,Mưa,0.497579,0.988087,14,0,85.86,Cao điểm Sáng,3.11
Hải Phòng,,3,1.52,Ô Tô 4 Chỗ,Mưa Bão,0.860674,0.927079,18,0,91.09,Chiều,1.44
Đà Nẵng,,5,13.93,Xe ViP,Mưa,0.915434,0.718371,5,1,93.72,Chiều,1.11
Cần Thơ,,6,17.64,Ô Tô 4 Chỗ,Nhiều Mây,0.910605,0.411392,4,1,85.83,Cao điểm Tối,1.31
Đà Nẵng,,5,7.02,Xe ViP,Nắng,0.727833,0.980017,0,1,98.43,Đêm,1.14
Hải Phòng,,6,19.84,Xe Máy,Mưa,0.499935,0.57314,15,1,93.28,Cao điểm Sáng,1.78
Đà Nẵng,,3,7.24,Ô Tô 4 Chỗ,Nắng,0.398921,0.943096,12,0,95.78,Chiều,1.82
Hồ Chí Minh,,5,4.91,Xe ViP,Mưa Bão,0.750155,0.507329,23,1,88.16,Cao điểm Sáng,2.07
Cần Thơ,,3,2.36,Xe Máy,Mưa,0.393845,0.427621,17,0,95.64,Chiều,1.24
Hồ Chí Minh,,6,6.14,Xe ViP,Nhiều Mây,0.897181,0.9156,22,1,94.07,Đêm,1.03
Đà Nẵng,,4,15.55,Ô Tô 4 Chỗ,Nhiều Mây,0.282189,0.656424,22,0,85.13,Cao điểm Sáng,1.78
Hải Phòng,,5,16.03,Xe ViP,Mưa,0.378777,0.659821,3,1,93.13,Chiều,1.77
Cần Thơ,,3,2.47,Xe Máy,Mưa,0.276831,0.96271,10,0,85.85,Cao điểm Tối,2.82
Hải Phòng,,2,12,Xe Máy,Nhiều Mây,0.698725,0.470721,7,0,99.57,Cao điểm Tối,1.25
Cần Thơ,,6,6.11,Xe Máy,Mưa,0.582622,0.993772,12,1,95.95,Chiều,1.78
Hồ Chí Minh,,0,12.26,Xe ViP,Nhiều Mây,0.8813,0.96161,3,0,85.89,Cao điểm Sáng,1.38
Hải Phòng,,0,15.44,Xe Máy,Nắng,0.259291,0.667332,5,0,86.34,Cao điểm Tối,1.81
Hồ Chí Minh,,1,16.72,Ô Tô 4 Chỗ,Nắng,0.579782,0.572571,21,0,93.91,Cao điểm Tối,1.11
Hà Nội,,2,7.06,Ô Tô 4 Chỗ,Nhiều Mây,0.229522,0.785888,2,0,87.39,Cao điểm Tối,2
Đà Nẵng,,2,7.28,Xe Máy,Nắng,0.951266,0.908587,8,0,89.33,Cao điểm Sáng,1.11
Đà Nẵng,,6,14.12,Xe ViP,Nắng,0.602365,0.644638,11,1,96.5,Cao điểm Tối,1.08
Cần Thơ,,5,4.08,Xe Máy,Mưa Bão,0.758434,0.949311,18,1,96.88,Đêm,1.53
Đà Nẵng,,2,15.93,Ô Tô 4 Chỗ,Mưa,0.67363,0.860467,19,0,90.17,Đêm,1.54
Đà Nẵng,,0,4.99,Xe Máy,Mưa,0.467576,0.857345,0,0,98.15,Cao điểm Sáng,2.32
Hải Phòng,,3,10.64,Ô Tô 4 Chỗ,Mưa Bão,0.428126,0.791203,10,0,91.51,Cao điểm Sáng,2.31
Cần Thơ,,4,2.52,Xe Máy,Mưa,0.627583,0.676931,10,0,89.31,Đêm,1.38
Hà Nội,,2,12.96,Xe Máy,Mưa,0.336699,0.998861,5,0,88.99,Cao điểm Tối,3.24
Hà Nội,,6,3.49,Ô Tô 4 Chỗ,Mưa Bão,0.603928,0.47128,16,1,98.96,Đêm,1.35
Hồ Chí Minh,,5,3.69,Xe Máy,Mưa,0.515243,0.714437,0,1,86.23,Cao điểm Sáng,1.93
Đà Nẵng,,6,18.57,Xe ViP,Mưa Bão,0.729904,0.98717,2,1,94.92,Cao điểm Sáng,2.24
Hải Phòng,,1,1.84,Xe Máy,Mưa,0.631733,0.685536,0,0,90.08,Chiều,1.22
Hải Phòng,,4,16.64,Xe Máy,Nắng,0.685672,0.786838,12,0,90.38,Đêm,1.15
Đà Nẵng,,0,1.51,Xe Máy,Mưa,0.264611,0.460271,9,0,94.66,Chiều,1.55
Hồ Chí Minh,,3,14.75,Xe ViP,Mưa,0.791729,0.461727,3,0,89.06,Chiều,1.21
Cần Thơ,,3,3.44,Ô Tô 4 Chỗ,Mưa,0.375391,0.828151,12,0,98.42,Chiều,1.84
Cần Thơ,,1,3.88,Xe ViP,Nhiều Mây,0.348804,0.931999,8,0,88.04,Chiều,1.87
Hà Nội,,4,9.28,Ô Tô 4 Chỗ,Mưa,0.262266,0.943617,19,0,86.46,Chiều,2.31
Hải Phòng,,1,4.7,Xe Máy,Nhiều Mây,0.976667,0.487028,11,0,97.52,Đêm,1
Hải Phòng,,4,10.56,Ô Tô 4 Chỗ,Mưa Bão,0.840626,0.798345,2,0,96.83,Chiều,1.26
Đà Nẵng,,4,3.61,Xe ViP,Nhiều Mây,0.936469,0.935926,6,0,90.72,Cao điểm Tối,1.19
Hồ Chí Minh,,3,18.96,Xe ViP,Mưa Bão,0.856648,0.452929,23,0,96.68,Chiều,1.22
Cần Thơ,,6,7.76,Xe Máy,Mưa,0.788352,0.438205,9,1,89.68,Cao điểm Tối,2.5
Hồ Chí Minh,,2,17.65,Xe ViP,Nhiều Mây,0.867882,0.445004,20,0,97.97,Đêm,1
Cần Thơ,,1,12.99,Ô Tô 4 Chỗ,Nhiều Mây,0.596777,0.925407,15,0,90.53,Cao điểm Sáng,1.83
Hà Nội,,1,2.24,Xe Máy,Nhiều Mây,0.585335,0.989271,5,0,86.64,Cao điểm Sáng,1.73
Hải Phòng,,1,10.99,Xe Máy,Mưa,0.965465,0.697321,13,0,92.75,Đêm,1.32
Hải Phòng,,0,8.46,Ô Tô 4 Chỗ,Mưa,0.451511,0.612535,13,0,91.89,Chiều,1.35
Cần Thơ,,5,10.1,Xe ViP,Nhiều Mây,0.237237,0.857766,17,1,95.8,Chiều,1.86
Đà Nẵng,,4,17.22,Xe ViP,Nắng,0.630962,0.835309,7,0,89.29,Cao điểm Tối,1.46
Cần Thơ,,2,1.51,Xe ViP,Nắng,0.207629,0.824367,6,0,86.83,Đêm,1.93
Đà Nẵng,,0,9.58,Xe ViP,Nhiều Mây,0.24648,0.668165,7,0,84.69,Đêm,1.63
Hải Phòng,,3,16.93,Xe ViP,Mưa Bão,0.970526,0.655096,0,0,90.91,Cao điểm Tối,2.37
Cần Thơ,,1,15.45,Xe ViP,Mưa,0.806746,0.886468,12,0,97.26,Chiều,1.35
Hồ Chí Minh,,0,2.32,Xe ViP,Mưa Bão,0.447575,0.955475,22,0,92.43,Cao điểm Tối,3.17
Cần Thơ,,6,9.16,Xe ViP,Nhiều Mây,0.80836,0.926129,17,1,98.13,Cao điểm Sáng,1.3
Hồ Chí Minh,,2,16.44,Ô Tô 4 Chỗ,Nhiều Mây,0.93103,0.450509,23,0,92.07,Cao điểm Sáng,1.22
Đà Nẵng,,6,17.97,Xe ViP,Mưa,0.317668,0.81131,20,1,85.31,Chiều,2.13
Hồ Chí Minh,,4,13.9,Ô Tô 4 Chỗ,Mưa,0.701574,0.942736,5,0,89.33,Chiều,1.76
Cần Thơ,,1,14.42,Xe ViP,Mưa,0.991493,0.537914,13,0,94.84,Chiều,1.18
Hải Phòng,,1,14.47,Xe ViP,Mưa Bão,0.40369,0.745462,5,0,91.15,Cao điểm Tối,2.29
Hà Nội,,1,6.75,Xe Máy,Mưa,0.966179,0.48913,17,0,96.83,Cao điểm Sáng,1.97
Đà Nẵng,,5,13.19,Xe Máy,Nắng,0.681528,0.733568,10,1,90.47,Đêm,1
Hải Phòng,,3,13.22,Ô Tô 4 Chỗ,Nhiều Mây,0.689802,0.476592,3,0,99.41,Cao điểm Sáng,1.39
Hải Phòng,,1,13.38,Xe ViP,Mưa,0.541098,0.833628,17,0,93.16,Đêm,1.66
Đà Nẵng,,6,10.11,Xe Máy,Mưa Bão,0.244844,0.471521,15,1,89.97,Chiều,1.56
Hồ Chí Minh,,4,15.78,Xe Máy,Mưa Bão,0.305401,0.754112,22,0,94.49,Chiều,1.95
Hồ Chí Minh,,2,18.05,Ô Tô 4 Chỗ,Mưa,0.993421,0.653975,18,0,90.49,Chiều,1.11
Cần Thơ,,1,19.83,Xe ViP,Mưa,0.767921,0.718516,13,0,89.98,Cao điểm Tối,2.06
Cần Thơ,,6,6.03,Ô Tô 4 Chỗ,Mưa,0.670486,0.553613,11,1,94.47,Cao điểm Sáng,1.93
Hải Phòng,,4,2.01,Xe Máy,Mưa,0.764121,0.544424,10,0,99.52,Đêm,1.15
Cần Thơ,,1,6.38,Xe ViP,Nắng,0.513829,0.955627,0,0,91.46,Chiều,1.66
Cần Thơ,,5,14,Xe ViP,Nắng,0.793407,0.87852,11,1,94.24,Cao điểm Tối,1.13
Hồ Chí Minh,,6,6.03,Ô Tô 4 Chỗ,Mưa,0.989781,0.676582,16,1,85,Cao điểm Sáng,1.54
Cần Thơ,,6,4.18,Xe Máy,Mưa,0.218215,0.674233,11,1,92.97,Đêm,1.87
Đà Nẵng,,4,15.87,Xe Máy,Nhiều Mây,0.36301,0.602414,21,0,87.61,Đêm,1.36
Đà Nẵng,,2,9.33,Xe ViP,Mưa,0.58757,0.72458,12,0,86.56,Cao điểm Sáng,2.6
Hà Nội,,5,12.57,Ô Tô 4 Chỗ,Nắng,0.622349,0.705114,6,1,96.06,Cao điểm Tối,1.26
Đà Nẵng,,3,13.06,Xe Máy,Mưa Bão,0.393044,0.557974,17,0,86.77,Chiều,1.44
Đà Nẵng,,1,9.26,Ô Tô 4 Chỗ,Mưa,0.217966,0.614876,10,0,89.64,Cao điểm Sáng,2.64
Cần Thơ,,4,9.54,Xe Máy,Nhiều Mây,0.835334,0.549482,17,0,97.72,Cao điểm Sáng,1.32
Đà Nẵng,,3,18.17,Ô Tô 4 Chỗ,Mưa Bão,0.396404,0.977406,1,0,89.24,Chiều,2.15
Đà Nẵng,,6,11.8,Ô Tô 4 Chỗ,Mưa Bão,0.41236,0.769076,18,1,95.83,Chiều,1.91
Hồ Chí Minh,,4,5.86,Xe ViP,Mưa,0.975574,0.716149,22,0,85.39,Cao điểm Tối,2.4
Hồ Chí Minh,,5,9.68,Xe Máy,Nhiều Mây,0.357077,0.985293,17,1,87.79,Cao điểm Sáng,2.25
Hải Phòng,,5,15.86,Xe ViP,Mưa,0.7812,0.641195,10,1,96.88,Đêm,1.19
Hải Phòng,,3,2.84,Xe ViP,Mưa Bão,0.95182,0.905226,1,0,90.36,Cao điểm Tối,1.59
Cần Thơ,,0,7.75,Xe ViP,Mưa,0.584519,0.737312,12,0,94.97,Chiều,1.44
Cần Thơ,,2,10.23,Xe Máy,Nắng,0.891707,0.908318,0,0,90.83,Cao điểm Tối,1.39
Hải Phòng,,2,8.4,Xe ViP,Nắng,0.303078,0.791791,0,0,93.25,Cao điểm Sáng,1.95
Cần Thơ,,3,19.44,Ô Tô 4 Chỗ,Nhiều Mây,0.374452,0.879557,20,0,86.8,Cao điểm Tối,1.95
Đà Nẵng,,5,13.78,Ô Tô 4 Chỗ,Nắng,0.914939,0.981127,11,1,84.83,Cao điểm Tối,1.07
Hồ Chí Minh,,3,10.04,Ô Tô 4 Chỗ,Nắng,0.471836,0.80896,18,0,94.24,Chiều,1.51
Hồ Chí Minh,,1,5.7,Xe Máy,Nhiều Mây,0.689392,0.445875,12,0,93.98,Cao điểm Tối,1.22
